asset_id;device_type;brand;model;acquisition_date;condition_score;original_price;age_months;refurb_potential;carbon_footprint_kg
AST000001;Laptop;Samsung;Samsung Pavilion2824;  ;6.8;834.18;27.8;Medium;290
AST000002;Laptop;Apple;Apple Pro5506;6/1/2023;7.9;907.23;23.8;High;329.5
AST000003;Desktop;Lenovo;Lenovo Elite4657;27/1/2020;5;550.11;59.1;Medium;243.3
AST000004;Desktop;Acer;Acer Elite2679;25/3/2022;8.1;520.62;33.2;High;255.4
AST000005;Laptop;Dell;Dell Pavilion9935;18/12/2024;9.8;879.51;0.4;High;284.5
AST000006;Server;Lenovo;Lenovo Pro7912;17/10/2021;7.8;2791.85;38.5;High;1239
AST000007;Laptop;Lenovo;Lenovo Pro1488;18/7/2021;6.8;963.05;41.5;Medium;275.3
AST000008;Laptop;Dell;Dell Pro4582;18/5/2022;8.3;947.61;31.5;High;305.2
AST000009;Tablet;Lenovo;Lenovo Elite9279;13/4/2021;4.4;330.51;44.6;Medium;159.5
AST000010;Server;Apple;Apple Latitude1434;7/9/2020;7.7;4135.68;51.8;High;1299.6
AST000011;Monitor;HP;HP Latitude4257;24/2/2022;9.3;318.28;34.2;High;202.4
AST000012;Laptop;Other;Other Pavilion9928;23/10/2023;10;966.51;14.3;High;299.6
AST000013;Desktop;HP;HP Inspiron4611;7/1/2020;8.6;711.62;59.8;High;232
AST000014;Desktop;Lenovo;Lenovo Inspiron5557;7/4/2024;8.4;615.49;8.8;High;233.1
AST000015;Tablet;Acer;Acer 1106;28/8/2024;9.1;516.68;4.1;High;144.7
AST000016;Laptop;HP;HP 3615;27/11/2021;5.5;879.97;37.1;Medium;319.1
AST000017;Monitor;Dell;Dell Pavilion7924;5/7/2022;7.5;314;29.9;High;186.7
AST000018;Laptop;Lenovo;Lenovo ThinkPad5552;26/6/2020;6.4;947.98;54.2;Medium;285.1
AST000019;Desktop;HP;HP Elite4527;17/5/2020;6.2;536.73;55.5;Medium;242.3
AST000020;Desktop;Apple;Apple 6514;6/7/2022;8.4;741.49;29.9;High;258.6
AST000021;Server;Dell;Dell Pro2519;20/9/2022;8.4;3940.75;27.4;High;1271.6
AST000022;Laptop;Lenovo;Lenovo Inspiron2584;28/8/2024;9.9;959.64;4.1;High;271
AST000023;Desktop;Dell;Dell ThinkPad6635;1/8/2021;7.7;771.63;41;High;258.8
AST000024;Server;Dell;Dell Latitude5333;7/7/2023;6.5;3827.19;17.8;Medium;1276.1
AST000025;Desktop;Lenovo;Lenovo 1711;12/4/2020;7.2;525.29;56.6;High;238.9
AST000026;Server;Acer;Acer Pavilion8527;1/10/2022;8.7;3360.66;27;High;1100.2
AST000027;Laptop;ASUS;ASUS Latitude3045;25/8/2020;5.8;861.41;52.2;Medium;309.1
AST000028;Laptop;Apple;Apple Inspiron2291;20/4/2021;5.1;1013.98;44.4;Medium;314.7
AST000029;Server;HP;HP Latitude5803;22/7/2022;7.5;4159.84;29.3;High;1174.3
AST000030;Monitor;Lenovo;Lenovo 6925;28/9/2022;7.9;339.49;27.1;High;214.6
AST000031;Laptop;Lenovo;Lenovo Latitude4150;17/7/2023;8.5;795.11;17.5;High;323
AST000032;Server;Samsung;Samsung Pavilion2139;3/5/2022;8.4;3790.98;32;High;1098.1
AST000033;Laptop;Dell;Dell Pro4733;18/4/2022;8;1005.94;32.5;High;304.2
AST000034;Laptop;Lenovo;Lenovo 5741;27/12/2020;6.1;734.49;48.1;Medium;289.4
AST000035;Monitor;Dell;Dell Pro4814;10/8/2022;9.1;401.16;28.7;High;216.5
AST000036;Desktop;Lenovo;Lenovo 2654;14/9/2023;9.5;731.38;15.6;High;269.5
AST000037;Laptop;HP;HP Inspiron5554;22/2/2022;6.2;1112.58;34.3;Medium;320.3
AST000038;Monitor;HP;HP Inspiron6977;11/1/2021;7.3;289.2;47.6;High;200.9
AST000039;Server;Dell;Dell Elite7065;13/8/2020;6.7;3563.36;52.6;Medium;1113.2
