asset_id,equipment_type,region,carbon_savings_kg,lifecycle_extension_years,refurbishment_success
ITAD-000001,Printer,Europe,261.59,1.61,True
ITAD-000002,Desktop,Europe,366.31,2.41,True
ITAD-000003,Printer,Europe,39.72,0.0,False
ITAD-000004,Desktop,North America,408.01,1.82,False
ITAD-000005,Desktop,Latin America,367.34,2.04,True
ITAD-000006,Desktop,North America,68.38,0.0,False
ITAD-000007,Printer,North America,214.88,1.1,False
ITAD-000008,Tablet,North America,71.32,2.55,True
ITAD-000009,Server,Europe,800.86,1.65,True
ITAD-000010,Smartphone,Europe,5.92,0.0,False
ITAD-000011,Laptop,North America,206.31,1.74,True
ITAD-000012,Printer,Europe,173.43,3.5,True
ITAD-000013,Desktop,North America,339.22,2.96,True
ITAD-000014,Server,Asia Pacific,193.06,0.0,False
ITAD-000015,Server,Asia Pacific,730.55,2.18,True
ITAD-000016,Printer,Europe,56.61,0.0,False
ITAD-000017,Monitor,Asia Pacific,194.07,2.24,True
ITAD-000018,Laptop,Europe,295.77,2.8,True
ITAD-000019,Laptop,Europe,242.24,2.2,True
ITAD-000020,Printer,Asia Pacific,155.89,2.39,False
ITAD-000021,Tablet,North America,91.9,3.36,True
ITAD-000022,Printer,Europe,50.18,0.0,False
ITAD-000023,Printer,North America,155.53,3.27,True
ITAD-000024,Desktop,Middle East & Africa,349.45,2.57,True
ITAD-000025,Tablet,North America,99.43,2.93,True
ITAD-000026,Printer,North America,226.6,1.98,True
ITAD-000027,Laptop,Europe,188.04,1.59,True
ITAD-000028,Smartphone,Europe,3.14,0.0,False
ITAD-000029,Laptop,Europe,306.13,3.14,True
ITAD-000030,Laptop,North America,55.35,0.0,False
ITAD-000031,Laptop,North America,263.81,2.65,True
ITAD-000032,Desktop,North America,398.51,2.49,True
ITAD-000033,Tablet,Europe,10.95,0.0,False
ITAD-000034,Printer,Latin America,309.8,1.64,False
ITAD-000035,Laptop,North America,58.42,0.0,False
ITAD-000036,Server,Asia Pacific,885.96,2.64,True
ITAD-000037,Printer,Europe,136.48,3.44,True
ITAD-000038,Smartphone,North America,11.96,0.0,False
ITAD-000039,Printer,Latin America,209.79,2.67,True
ITAD-000040,Laptop,North America,266.78,3.34,True
ITAD-000041,Smartphone,North America,4.35,0.0,False
ITAD-000042,Printer,North America,317.18,2.67,True
ITAD-000043,Desktop,Latin America,75.68,0.0,False
ITAD-000044,Printer,Asia Pacific,151.87,1.56,True
ITAD-000045,Smartphone,North America,11.14,0.0,False
ITAD-000046,Smartphone,Asia Pacific,20.03,1.59,True
ITAD-000047,Desktop,North America,479.11,2.45,True
ITAD-000048,Desktop,North America,313.9,2.16,True
ITAD-000049,Desktop,Latin America,336.71,1.31,False
ITAD-000050,Smartphone,North America,7.61,0.0,False
ITAD-000051,Desktop,North America,335.74,2.19,True
ITAD-000052,Desktop,North America,362.59,2.79,True
ITAD-000053,Tablet,North America,96.28,1.51,True
ITAD-000054,Smartphone,Europe,4.68,0.0,False
ITAD-000055,Monitor,Asia Pacific,192.11,2.24,True
ITAD-000056,Tablet,Asia Pacific,96.72,3.16,True
ITAD-000057,Tablet,Asia Pacific,52.24,0.66,False
ITAD-000058,Monitor,North America,188.41,2.38,True
ITAD-000059,Laptop,Europe,58.19,0.0,False
ITAD-000060,Desktop,Latin America,445.32,1.57,True
ITAD-000061,Desktop,Europe,391.74,2.32,True
ITAD-000062,Monitor,North America,243.31,1.81,True
ITAD-000063,Laptop,Latin America,181.95,1.71,True
ITAD-000064,Monitor,North America,173.02,2.57,True
ITAD-000065,Desktop,North America,291.98,2.12,True
ITAD-000066,Desktop,North America,424.02,1.1,False
ITAD-000067,Smartphone,Asia Pacific,45.28,1.81,True
ITAD-000068,Tablet,Europe,72.0,2.69,True
ITAD-000069,Tablet,North America,81.88,1.91,True
ITAD-000070,Desktop,Latin America,413.36,2.04,True
ITAD-000071,Smartphone,Middle East & Africa,11.87,0.0,False
ITAD-000072,Laptop,Asia Pacific,319.66,2.88,True
ITAD-000073,Smartphone,Europe,10.47,0.0,False
ITAD-000074,Desktop,North America,369.65,3.04,True
ITAD-000075,Monitor,Asia Pacific,242.86,2.29,True
ITAD-000076,Smartphone,Europe,3.96,0.0,False
ITAD-000077,Laptop,Europe,305.46,3.42,True
ITAD-000078,Laptop,Europe,211.28,2.48,True
ITAD-000079,Desktop,Latin America,482.61,3.44,True
ITAD-000080,Printer,North America,29.54,0.0,False
ITAD-000081,Desktop,Asia Pacific,347.0,0.52,False
ITAD-000082,Smartphone,North America,21.42,2.17,True
ITAD-000083,Smartphone,Asia Pacific,22.18,2.28,True
ITAD-000084,Monitor,Europe,192.87,0.73,False
ITAD-000085,Desktop,Asia Pacific,327.81,2.53,True
ITAD-000086,Laptop,North America,318.46,3.41,True
ITAD-000087,Laptop,Asia Pacific,328.99,1.72,True
ITAD-000088,Desktop,Europe,458.15,2.82,True
ITAD-000089,Monitor,North America,123.25,3.14,True
ITAD-000090,Printer,Asia Pacific,165.27,2.77,True
ITAD-000091,Monitor,North America,145.02,3.04,True
ITAD-000092,Laptop,Europe,271.05,0.88,False
ITAD-000093,Smartphone,North America,43.72,3.15,True
ITAD-000094,Desktop,Middle East & Africa,436.64,1.9,True
ITAD-000095,Server,North America,836.77,3.32,True
ITAD-000096,Printer,Europe,204.05,2.41,True
ITAD-000097,Desktop,Asia Pacific,297.15,2.64,True
ITAD-000098,Server,Europe,900.75,1.77,True
ITAD-000099,Smartphone,Latin America,32.24,1.44,False
ITAD-000100,Server,Asia Pacific,694.41,1.62,True
ITAD-000101,Tablet,North America,71.21,1.66,True
ITAD-000102,Tablet,North America,64.25,3.48,True
ITAD-000103,Laptop,North America,233.01,2.43,True
ITAD-000104,Monitor,Europe,136.02,2.31,True
ITAD-000105,Laptop,Asia Pacific,237.43,0.74,False
ITAD-000106,Monitor,Europe,201.1,2.21,True
ITAD-000107,Laptop,Europe,215.86,0.56,False
ITAD-000108,Desktop,North America,487.32,1.51,True
ITAD-000109,Desktop,North America,59.56,0.0,False
ITAD-000110,Tablet,North America,93.43,2.64,True
ITAD-000111,Laptop,North America,188.12,1.16,False
ITAD-000112,Smartphone,North America,62.78,3.26,True
ITAD-000113,Tablet,North America,11.58,0.0,False
ITAD-000114,Laptop,Europe,313.07,3.33,True
ITAD-000115,Server,North America,1145.28,2.36,True
ITAD-000116,Printer,North America,185.75,3.11,True
ITAD-000117,Desktop,North America,434.51,1.71,True
ITAD-000118,Server,Asia Pacific,1005.44,3.09,True
ITAD-000119,Tablet,Europe,16.44,0.0,False
ITAD-000120,Laptop,North America,171.77,2.78,True
ITAD-000121,Monitor,Middle East & Africa,211.45,2.88,True
ITAD-000122,Server,Asia Pacific,849.75,2.19,True
ITAD-000123,Tablet,Asia Pacific,100.39,2.82,True
ITAD-000124,Desktop,Middle East & Africa,375.47,3.14,True
ITAD-000125,Server,Middle East & Africa,145.58,0.0,False
ITAD-000126,Smartphone,Asia Pacific,34.04,2.26,True
ITAD-000127,Laptop,North America,234.87,2.58,True
ITAD-000128,Desktop,Asia Pacific,334.37,1.19,False
ITAD-000129,Server,North America,845.63,3.41,True
ITAD-000130,Tablet,North America,54.81,2.74,True
ITAD-000131,Monitor,Europe,146.11,1.65,True
ITAD-000132,Smartphone,Middle East & Africa,43.6,2.35,True
ITAD-000133,Printer,Asia Pacific,220.43,1.54,True
ITAD-000134,Printer,North America,232.46,3.19,True
ITAD-000135,Desktop,Asia Pacific,304.44,1.7,True
ITAD-000136,Desktop,Latin America,425.56,2.73,True
ITAD-000137,Tablet,North America,42.55,3.41,True
ITAD-000138,Desktop,Asia Pacific,468.38,3.06,True
ITAD-000139,Desktop,Europe,310.31,2.47,True
ITAD-000140,Monitor,Europe,243.17,2.85,True
ITAD-000141,Laptop,Asia Pacific,313.14,1.23,False
ITAD-000142,Server,Europe,1239.5,2.48,True
ITAD-000143,Server,North America,1109.11,1.82,True
ITAD-000144,Laptop,Asia Pacific,271.98,2.88,True
ITAD-000145,Desktop,North America,423.52,0.89,False
ITAD-000146,Printer,North America,239.53,2.62,True
ITAD-000147,Desktop,Asia Pacific,324.66,3.15,True
ITAD-000148,Server,North America,761.62,2.78,True
ITAD-000149,Printer,Europe,148.07,1.55,True
ITAD-000150,Laptop,Europe,51.18,0.0,False
ITAD-000151,Smartphone,Europe,50.35,3.41,True
ITAD-000152,Desktop,North America,301.07,2.48,True
ITAD-000153,Server,North America,731.55,3.26,True
ITAD-000154,Server,Europe,713.98,2.87,True
ITAD-000155,Tablet,Europe,50.5,2.83,True
ITAD-000156,Desktop,Asia Pacific,446.08,1.9,True
ITAD-000157,Server,Asia Pacific,967.16,2.61,True
ITAD-000158,Monitor,Europe,164.11,1.29,False
ITAD-000159,Printer,Latin America,184.05,1.11,False
ITAD-000160,Desktop,Europe,496.77,3.21,True
ITAD-000161,Monitor,Asia Pacific,134.72,1.53,True
ITAD-000162,Laptop,Middle East & Africa,296.65,3.48,True
ITAD-000163,Server,Europe,908.12,3.31,True
ITAD-000164,Desktop,Asia Pacific,297.72,2.13,True
ITAD-000165,Printer,North America,169.94,1.57,True
ITAD-000166,Server,Asia Pacific,700.43,2.39,True
ITAD-000167,Server,Europe,734.88,2.92,True
ITAD-000168,Laptop,Europe,207.14,0.62,False
ITAD-000169,Laptop,North America,268.8,3.28,True
ITAD-000170,Tablet,Europe,81.7,0.75,False
ITAD-000171,Laptop,North America,193.38,0.84,False
ITAD-000172,Smartphone,North America,50.03,3.4,True
ITAD-000173,Printer,North America,34.88,0.0,False
ITAD-000174,Tablet,Europe,76.23,2.53,True
ITAD-000175,Smartphone,North America,64.16,1.83,True
ITAD-000176,Monitor,Asia Pacific,160.34,1.09,False
ITAD-000177,Desktop,Europe,431.29,2.86,True
ITAD-000178,Monitor,North America,189.61,2.4,True
ITAD-000179,Printer,Europe,273.06,2.05,True
ITAD-000180,Smartphone,Asia Pacific,35.93,1.1,False
ITAD-000181,Desktop,North America,369.6,2.12,True
ITAD-000182,Tablet,North America,96.97,2.33,True
ITAD-000183,Smartphone,North America,8.43,0.0,False
ITAD-000184,Laptop,North America,308.28,2.92,True
ITAD-000185,Smartphone,Asia Pacific,12.0,0.0,False
ITAD-000186,Server,North America,789.99,3.43,True
ITAD-000187,Monitor,Europe,245.91,3.4,True
ITAD-000188,Server,North America,951.27,2.65,True
ITAD-000189,Desktop,Europe,293.47,3.44,True
ITAD-000190,Desktop,North America,328.78,3.41,True
ITAD-000191,Desktop,Asia Pacific,447.13,2.82,True
ITAD-000192,Monitor,Europe,227.92,3.4,True
ITAD-000193,Tablet,Asia Pacific,81.57,1.92,True
ITAD-000194,Monitor,North America,196.54,2.22,True
ITAD-000195,Smartphone,Asia Pacific,28.64,2.11,True
ITAD-000196,Printer,North America,174.67,3.07,True
ITAD-000197,Smartphone,Europe,62.36,2.37,True
ITAD-000198,Server,Asia Pacific,798.64,1.76,True
ITAD-000199,Smartphone,North America,22.4,2.77,True
ITAD-000200,Laptop,Asia Pacific,202.4,2.86,True
ITAD-000201,Printer,Europe,160.54,2.88,True
ITAD-000202,Desktop,Europe,493.37,2.54,True
ITAD-000203,Server,Asia Pacific,759.28,2.37,True
ITAD-000204,Laptop,Europe,284.85,1.05,False
ITAD-000205,Printer,Europe,230.63,1.62,True
ITAD-000206,Laptop,Asia Pacific,318.85,3.19,True
ITAD-000207,Monitor,Asia Pacific,175.43,3.28,True
ITAD-000208,Desktop,Europe,372.78,1.45,False
ITAD-000209,Smartphone,North America,3.45,0.0,False
ITAD-000210,Monitor,North America,203.18,0.57,False
ITAD-000211,Smartphone,North America,50.76,1.83,True
ITAD-000212,Smartphone,Europe,7.63,0.0,False
ITAD-000213,Tablet,Latin America,44.0,1.62,True
ITAD-000214,Desktop,North America,330.24,1.58,True
ITAD-000215,Laptop,North America,192.05,2.36,True
ITAD-000216,Desktop,Asia Pacific,423.12,0.69,False
ITAD-000217,Printer,Asia Pacific,270.36,3.05,True
ITAD-000218,Monitor,Latin America,131.43,2.22,True
ITAD-000219,Printer,North America,206.99,3.02,True
ITAD-000220,Smartphone,Europe,44.64,2.92,True
ITAD-000221,Printer,Europe,287.65,2.92,True
ITAD-000222,Laptop,Europe,55.85,0.0,False
