asset_id;original_carbon_footprint;refurb_carbon_cost;avoided_new_manufacturing_emissions;materials_recovered_kg;landfill_diversion_kg;circular_economy_value
AST000001;290;31.2;236.6;3.35;2.25;319.89
AST000002;329.5;19.7;250.7;3.23;2.25;417.1
AST000003;243.3;33.6;194;11.94;7.2;126.48
AST000004;255.4;26.5;199.4;12.7;7.2;76.62
AST000006;1239;99.7;1043.9;23.16;13.5;1002.46
AST000007;275.3;33.3;214.9;3.21;2.25;311.16
AST000008;305.2;34.2;247.6;3.64;2.25;279.82
AST000009;159.5;8.5;122.9;0.6;0.45;99.69
AST000010;1299.6;136.9;285.6;9;12.75;0
AST000011;202.4;19.2;167.9;6.19;4.5;60.72
AST000012;299.6;21.9;226.6;3.31;2.25;528.93
AST000013;232;29.5;174;12.61;7.2;244.93
AST000014;233.1;25.7;37.4;4.8;6.8;0
AST000015;144.7;18.7;113.4;0.57;0.45;363.2
AST000016;319.1;38.9;250.6;3.86;2.25;353.3
AST000017;186.7;19.7;146.1;7.39;4.5;124.02
AST000019;242.3;32.5;195.4;11.32;7.2;165.38
AST000021;1271.6;136.7;984.3;24.84;13.5;1527.17
AST000022;271;40.3;230.2;3.99;2.25;684.84
AST000023;258.8;31;198.9;10.98;7.2;255.54
AST000024;1276.1;114.9;312.5;9;12.75;0
AST000026;1100.2;82.6;852.8;23.82;13.5;1834.32
AST000027;309.1;21.5;249.3;3.47;2.25;234.59
AST000029;1174.3;116.8;230.8;9;12.75;0
AST000030;214.6;14.5;164.1;6.31;4.5;149.11
AST000031;323;34.4;245.9;3.5;2.25;409.4
AST000032;1098.1;136.7;877.2;23.05;13.5;1518.32
AST000033;304.2;28.5;247.2;3.32;2.25;412.77
AST000034;289.4;21.2;64.4;1.5;2.12;0
AST000035;216.5;15.9;176;6.68;4.5;64.95
AST000036;269.5;38.9;218.1;10.33;7.2;310.58
AST000037;320.3;31.3;50.3;1.5;2.12;0
AST000038;200.9;17.3;165;7.24;4.5;103.85
AST000040;296.3;27.4;58.6;1.5;2.12;0
AST000041;296.5;27.6;231.1;3.78;2.25;716.04
AST000042;314.3;25.7;255.9;3.53;2.25;703.8
AST000044;140.2;18.1;116.8;0.54;0.45;217.2
AST000047;234.8;33.1;191.5;12.23;7.2;403.3
AST000048;309.3;24.9;56.8;1.5;2.12;0
AST000049;322.6;30;243.6;3.5;2.25;387.02
AST000050;1218.2;68.2;998.6;23.71;13.5;985.94
AST000051;1104.7;161;928.6;22.79;13.5;1748.01
AST000052;136.6;11.4;114.9;0.6;0.45;111.47
AST000053;143.8;13.9;120;0.57;0.45;190.38
AST000054;325.9;39.1;273.1;4.07;2.25;548.47
AST000055;160.2;11.5;133.9;0.65;0.45;205.34
AST000056;229.2;30.1;186;12;7.2;345.88
AST000057;80.9;11.5;20;0.12;0.17;0
AST000058;253.6;37.3;214.4;12.1;7.2;229.61
AST000059;1148.6;60.1;190.9;9;12.75;0
AST000060;215.6;14.3;166.5;6.55;4.5;70.61
AST000061;259.8;35.8;45.7;4.8;6.8;0
AST000064;233.1;28.9;197.6;10.91;7.2;278.35
AST000065;147.3;19.7;115.8;0.63;0.45;224.11
AST000066;1312.8;159.1;1072.9;24.94;13.5;1368.41
AST000067;216.5;12.9;167.1;6.66;4.5;64.95
AST000068;231.5;33.9;190.2;12.65;7.2;284.07
AST000069;150.6;17;122.4;0.6;0.45;177.89
AST000070;1270;174.8;261.3;9;12.75;0
AST000071;225.7;15.7;187.6;12.74;7.2;243.33
AST000075;269.8;19.3;52.8;4.8;6.8;0
AST000076;242.3;15.9;198.4;12.75;7.2;244.96
AST000077;311.4;38.2;249;3.33;2.25;322.03
AST000078;273.7;14.8;212.5;3.59;2.25;230.64
AST000079;315.6;32.1;246.6;3.63;2.25;293.57
AST000081;234.1;19.8;179.1;11.63;7.2;70.23
AST000082;254.7;21.9;49.3;4.8;6.8;0
AST000083;1215.5;129.1;260.4;9;12.75;0
AST000084;329.2;20.5;251.7;3.32;2.25;577.51
AST000085;265.3;30.4;224.5;11.18;7.2;168.31
AST000086;276.7;28.9;50.2;1.5;2.12;0
AST000087;313.1;30.1;252.9;3.51;2.25;630.29
AST000088;246.3;22.4;187.1;12.56;7.2;234.02
AST000089;251.6;14.4;202.9;13.17;7.2;311.53
AST000090;311.1;16.5;235.3;3.35;2.25;214.91
AST000092;195.2;15.7;163.5;7.54;4.5;151.39
AST000093;139.9;9.7;117.2;0.62;0.45;183.28
AST000094;207.3;25.1;170.2;6.29;4.5;156.53
AST000095;270;29;211.7;11.81;7.2;485.27
AST000096;290;22;244.4;3.12;2.25;587.17
AST000097;1116.4;142.7;911.1;24.42;13.5;2468.22
AST000098;299.6;43.7;52.5;1.5;2.12;0
AST000100;313;43.9;264.4;3.28;2.25;606.87
AST000101;232.7;31.2;190.4;11.27;7.2;214.16
AST000102;230.1;22.8;175.2;12.08;7.2;165.27
AST000106;297.9;18;239.7;3.93;2.25;367.51
AST000107;245.9;14.1;53;4.8;6.8;0
AST000109;157.5;13.3;129.7;0.54;0.45;47.25
AST000110;320.2;16.5;255.2;3.09;2.25;240.98
AST000111;232.8;34.6;190.4;11.69;7.2;312.47
AST000114;1317.3;167.1;1011.5;23.86;13.5;987.48
AST000116;312.2;45.8;258.1;3.64;2.25;250.35
AST000118;230.7;17.2;188.4;11.22;7.2;388.48
AST000119;232;27.2;192.4;12.81;7.2;204.64
AST000120;212.9;15.7;161.7;6.45;4.5;137.66
AST000121;225.5;27;184.3;11.39;7.2;167.48
AST000122;299.7;39.1;250.9;3.6;2.25;482.79
AST000123;237.3;22.9;183.4;11.99;7.2;329.95
AST000124;327;45.7;277.5;3.26;2.25;444.09
AST000126;312.3;27.9;48.6;1.5;2.12;0
AST000127;243;34.3;195;10.71;7.2;139.57
AST000128;275.2;24.6;210;3.33;2.25;572.54
AST000130;330;27.1;274.8;3.06;2.25;229.91
AST000131;272.2;14.7;227.4;11.29;7.2;161.43
AST000133;288.9;39.5;244.7;3.92;2.25;391.1
AST000135;274.9;37.1;47.2;4.8;6.8;0
AST000136;286.3;18.4;220.6;3.57;2.25;372.32
AST000137;287.2;43.1;220.2;3.5;2.25;265.1
AST000138;276.6;29;215.1;3.4;2.25;153.1
AST000139;326.7;16.9;268.2;3.91;2.25;529.66
AST000140;266.9;15.5;40.9;4.8;6.8;0
AST000144;227.2;16.1;184.3;11.33;7.2;273.36
AST000145;190.4;25.3;155.7;6.57;4.5;167.26
AST000146;1318;99.6;1111.4;23.72;13.5;1171.97
AST000148;193.4;13.6;154.6;5.73;4.5;58.02
AST000149;314.6;16.2;69.5;1.5;2.12;0
AST000150;275;24.4;231.6;3.66;2.25;82.5
AST000153;1097.9;78.2;872.2;24.79;13.5;1332.37
AST000154;210.3;18.1;170.2;6.73;4.5;96.58
AST000155;276.1;25.4;228.8;3.23;2.25;358.2
AST000156;189.2;16.4;150.8;6.48;4.5;107.83
AST000157;313.5;20.8;248.8;3.48;2.25;198.94
AST000159;158.9;23.5;30.2;0.3;0.42;0
AST000160;277;28.8;211.6;3.68;2.25;83.1
