asset_id,equipment_type,asset_age_years,weight_kg,region,original_purchase_price_usd,condition_score,product_condition,can_refurbish,refurbishment_cost_usd,refurbishment_success,refurbishment_success_probability,sales_channel,market_value_usd,final_sale_price_usd,channel_commission_rate,net_revenue_usd,carbon_new_manufacturing_kg,carbon_refurb_process_kg,carbon_savings_kg,lifecycle_extension_years,grid_carbon_intensity_kg_co2_kwh,processing_date,processing_month,seasonal_demand_multiplier,roi_percent
ITAD-000001,Printer,5.57,16.94,Europe,1017.5,4.9,Refurbished,True,145.27,True,0.672,B2B Direct,779.28,1767.24,0.05,1678.88,323.2,13.13,261.59,1.61,0.31,2024-11-15,8,1.0,1116.53
ITAD-000002,Desktop,0.7,11.67,Europe,857.17,8.1,Refurbished,True,286.23,True,0.927,B2B Direct,1154.01,2445.38,0.05,2323.12,441.59,9.05,366.31,2.41,0.31,2024-09-06,3,1.0,754.33
ITAD-000004,Desktop,4.03,11.08,North America,1598.79,6.2,Good,True,224.59,False,0.774,B2B Direct,1273.5,2780.96,0.05,2641.91,480.02,0.0,408.01,1.82,0.42,2025-02-26,6,1.0,1138.27
ITAD-000005,Desktop,5.22,14.58,Latin America,1855.2,7.2,Refurbished,True,237.85,True,0.855,B2B Direct,953.45,2356.05,0.05,2238.25,447.17,12.75,367.34,2.04,0.35,2024-11-29,5,1.0,890.55
ITAD-000007,Printer,5.91,20.43,North America,1212.4,7.0,Good,True,108.04,False,0.837,Online Marketplace,737.79,714.98,0.12,629.18,252.8,0.0,214.88,1.1,0.42,2025-07-05,7,1.0,500.61
ITAD-000009,Server,0.4,19.72,Europe,3130.57,9.4,Refurbished,True,521.31,True,0.95,Retail Partner,4377.34,5440.39,0.2,4352.31,960.16,15.28,800.86,1.65,0.31,2025-01-05,11,1.15,943.6
ITAD-000011,Laptop,1.34,1.38,North America,716.12,10.0,Refurbished,True,135.4,True,0.95,B2B Direct,950.88,1746.0,0.05,1658.7,244.42,1.44,206.31,1.74,0.42,2025-04-06,12,1.08,1189.49
ITAD-000012,Printer,0.64,9.38,Europe,938.21,8.5,Refurbished,True,142.68,True,0.95,B2B Direct,1269.53,3518.73,0.05,3342.79,212.58,7.27,173.43,3.5,0.31,2025-05-15,11,1.15,2366.23
ITAD-000013,Desktop,2.44,8.36,North America,1802.99,7.9,Refurbished,True,247.62,True,0.91,Online Marketplace,2239.63,2495.58,0.12,2196.11,409.41,8.78,339.22,2.96,0.42,2024-10-15,8,1.0,907.84
ITAD-000015,Server,3.96,18.4,Asia Pacific,3013.72,7.5,Refurbished,True,663.06,True,0.878,Refurb Specialist,2597.25,4247.42,0.08,3907.63,896.26,31.28,730.55,2.18,0.68,2025-04-07,9,1.15,540.58
ITAD-000017,Monitor,0.73,4.39,Asia Pacific,538.24,9.7,Refurbished,True,116.47,True,0.95,Retail Partner,565.73,723.21,0.2,578.57,237.1,7.47,194.07,2.24,0.68,2025-05-29,9,1.15,520.97
ITAD-000018,Laptop,0.02,1.46,Europe,1241.07,10.0,Refurbished,True,216.26,True,0.95,Online Marketplace,1771.23,1638.18,0.12,1441.6,349.3,1.13,295.77,2.8,0.31,2025-02-22,7,1.0,657.52
ITAD-000019,Laptop,1.29,2.07,Europe,347.83,6.7,Refurbished,True,186.02,True,0.819,Refurb Specialist,426.16,836.94,0.08,769.98,286.88,1.6,242.24,2.2,0.31,2024-11-25,1,1.08,349.92
ITAD-000020,Printer,2.37,8.9,Asia Pacific,788.11,6.6,Good,True,174.12,False,0.809,Refurb Specialist,537.36,945.64,0.08,869.99,183.4,0.0,155.89,2.39,0.68,2024-11-07,1,1.08,443.09
ITAD-000023,Printer,1.91,6.63,North America,1062.72,6.4,Refurbished,True,90.84,True,0.793,B2B Direct,1394.63,3659.15,0.05,3476.2,191.17,6.96,155.53,3.27,0.42,2024-09-16,12,1.08,3357.73
ITAD-000024,Desktop,2.02,9.09,Middle East & Africa,479.92,10.0,Refurbished,True,236.24,True,0.95,B2B Direct,415.11,1052.39,0.05,999.77,425.82,12.49,349.45,2.57,0.55,2024-12-15,5,1.0,345.48
ITAD-000025,Tablet,1.11,0.72,North America,234.28,9.4,Refurbished,True,69.96,True,0.95,B2B Direct,311.44,721.05,0.05,685.0,117.87,0.76,99.43,2.93,0.42,2025-04-13,3,1.0,930.71
ITAD-000026,Printer,1.99,8.69,North America,456.98,9.8,Refurbished,True,239.06,True,0.95,Refurb Specialist,594.72,997.98,0.08,918.14,277.32,9.12,226.6,1.98,0.42,2025-07-19,6,1.0,317.45
ITAD-000027,Laptop,3.78,2.18,Europe,950.92,8.7,Refurbished,True,113.46,True,0.95,B2B Direct,789.01,1720.07,0.05,1634.06,223.21,1.69,188.04,1.59,0.31,2025-06-03,1,1.08,1415.97
ITAD-000029,Laptop,2.71,2.29,Europe,1009.84,7.8,Refurbished,True,196.31,True,0.904,Online Marketplace,1008.75,904.4,0.12,795.88,362.24,1.78,306.13,3.14,0.31,2024-10-17,12,1.08,360.7
ITAD-000031,Laptop,2.4,2.7,North America,382.82,9.6,Refurbished,True,172.43,True,0.95,B2B Direct,438.05,1086.5,0.05,1032.17,313.7,2.83,263.81,2.65,0.42,2025-07-31,3,1.0,530.1
ITAD-000032,Desktop,1.01,11.93,North America,1826.21,9.6,Refurbished,True,310.83,True,0.95,B2B Direct,2609.82,7084.27,0.05,6730.06,483.58,12.53,398.51,2.49,0.42,2024-09-28,9,1.15,2179.16
ITAD-000036,Server,1.51,20.67,Asia Pacific,2754.2,10.0,Refurbished,True,414.05,True,0.95,B2B Direct,2788.27,6153.73,0.05,5846.04,1083.64,35.14,885.96,2.64,0.68,2024-10-23,4,1.0,1386.22
ITAD-000037,Printer,3.67,24.24,Europe,1007.74,9.5,Refurbished,True,184.51,True,0.95,Refurb Specialist,1000.76,1729.1,0.08,1590.77,182.67,18.79,136.48,3.44,0.31,2025-06-17,5,1.0,837.14
ITAD-000039,Printer,0.16,10.62,Latin America,413.16,9.7,Refurbished,True,198.82,True,0.95,B2B Direct,370.87,912.55,0.05,866.93,257.74,9.29,209.79,2.67,0.35,2024-09-13,12,1.08,359.0
ITAD-000040,Laptop,1.05,1.93,North America,257.98,8.0,Refurbished,True,69.97,True,0.918,B2B Direct,355.33,877.42,0.05,833.55,316.23,2.02,266.78,3.34,0.42,2024-10-28,10,1.15,1154.0
ITAD-000042,Printer,1.75,6.27,North America,903.47,10.0,Refurbished,True,160.93,True,0.95,Online Marketplace,1204.19,1145.87,0.12,1008.36,380.9,6.58,317.18,2.67,0.42,2025-03-24,5,1.0,612.01
ITAD-000047,Desktop,1.4,8.53,North America,417.32,10.0,Refurbished,True,252.49,True,0.95,B2B Direct,575.33,1303.13,0.05,1237.98,574.2,8.96,479.11,2.45,0.42,2025-07-06,2,1.0,416.1
ITAD-000048,Desktop,0.89,10.43,North America,898.06,10.0,Refurbished,True,351.22,True,0.95,Retail Partner,1297.42,1927.71,0.2,1542.17,382.19,10.96,313.9,2.16,0.42,2025-06-24,11,1.15,448.86
ITAD-000051,Desktop,1.53,10.78,North America,1386.75,7.7,Refurbished,True,268.21,True,0.896,Retail Partner,1887.48,2282.02,0.2,1825.62,408.3,11.32,335.74,2.19,0.42,2025-06-29,9,1.15,750.82
ITAD-000052,Desktop,5.45,11.49,North America,674.99,9.5,Refurbished,True,301.09,True,0.95,B2B Direct,574.89,1381.45,0.05,1312.38,440.77,12.06,362.59,2.79,0.42,2024-10-25,2,1.0,358.82
ITAD-000055,Monitor,0.78,6.54,Asia Pacific,664.76,10.0,Refurbished,True,112.99,True,0.95,B2B Direct,696.42,1588.58,0.05,1509.15,239.08,11.11,192.11,2.24,0.68,2025-08-26,8,1.0,1306.0
ITAD-000056,Tablet,0.23,0.64,Asia Pacific,167.76,10.0,Refurbished,True,34.15,True,0.95,B2B Direct,179.71,558.64,0.05,530.71,115.07,1.09,96.72,3.16,0.68,2024-10-06,12,1.08,1535.84
ITAD-000058,Monitor,3.52,7.54,North America,776.5,10.0,Refurbished,True,143.43,True,0.95,Online Marketplace,927.43,950.63,0.12,836.56,230.97,7.92,188.41,2.38,0.42,2025-04-05,1,1.08,562.77
ITAD-000060,Desktop,0.52,11.73,Latin America,1505.63,10.0,Refurbished,True,188.45,True,0.95,B2B Direct,1310.19,3407.74,0.05,3237.35,535.99,10.27,445.32,1.57,0.35,2024-10-18,6,1.0,1708.34
ITAD-000061,Desktop,2.38,11.76,Europe,956.24,8.6,Refurbished,True,394.29,True,0.95,Online Marketplace,1095.74,993.44,0.12,874.23,471.59,9.11,391.74,2.32,0.31,2025-06-02,2,1.0,151.96
ITAD-000063,Laptop,1.04,1.36,Latin America,1057.34,10.0,Refurbished,True,210.25,True,0.95,B2B Direct,851.52,2271.95,0.05,2158.35,215.46,1.19,181.95,1.71,0.35,2025-02-03,9,1.15,980.6
ITAD-000064,Monitor,2.1,5.0,North America,1361.61,9.5,Refurbished,True,152.66,True,0.95,B2B Direct,1827.05,4301.42,0.05,4086.35,209.73,5.24,173.02,2.57,0.42,2024-11-15,11,1.15,2717.6
ITAD-000065,Desktop,2.19,12.11,North America,1704.32,8.3,Refurbished,True,210.68,True,0.944,B2B Direct,2172.67,5601.68,0.05,5321.6,358.47,12.71,291.98,2.12,0.42,2025-04-08,11,1.15,2558.84
ITAD-000066,Desktop,0.05,14.73,North America,589.68,10.0,Good,True,165.07,False,0.95,Online Marketplace,704.9,693.3,0.12,610.11,498.85,0.0,424.02,1.1,0.42,2025-02-06,7,1.0,320.01
