asset_id;intake_date;assessment_duration_hrs;refurb_start_date;refurb_completion_date;parts_cost;labor_hours;final_condition_score;refurb_success;certification_achieved
AST000001;15/9/2022;8;21/9/2022;21/9/2022;58.03;5.2;7.4;TRUE;ISO14001
AST000002;6/1/2023;6.3;10/1/2023;10/1/2023;44.04;5.9;9.8;TRUE;e-Stewards
AST000003;10/2/2020;3.6;14/2/2020;14/2/2020;63.06;3.7;5.5;TRUE;ISO14001
AST000004;25/3/2022;4.4;26/3/2022;26/3/2022;24.15;2.8;9.2;TRUE;R2
AST000006;21/10/2021;8;24/10/2021;24/10/2021;280.37;9;8.9;TRUE;ISO14001
AST000007;19/7/2021;5.6;23/7/2021;23/7/2021;52.23;3.6;7.7;TRUE;R2
AST000008;13/6/2022;2.9;15/6/2022;15/6/2022;43.61;1;8.9;TRUE;e-Stewards
AST000009;20/4/2021;2.3;26/4/2021;26/4/2021;49.87;3.1;5.2;TRUE;R2
AST000010;12/9/2020;2.1;16/9/2020;17/9/2020;126.94;9.6;8.7;FALSE;
AST000011;25/2/2022;8;27/2/2022;27/2/2022;24.22;2.2;9.9;TRUE;e-Stewards
AST000012;24/10/2023;4.1;26/10/2023;27/10/2023;33.68;1;10;TRUE;ISO14001
AST000013;7/1/2020;2.7;13/1/2020;13/1/2020;43.79;2.8;9.7;TRUE;R2
AST000014;7/4/2024;1.5;16/4/2024;16/4/2024;31.85;1.1;10;FALSE;
AST000015;28/8/2024;6;7/9/2024;7/9/2024;11.89;1;10;TRUE;e-Stewards
AST000016;5/12/2021;5.6;6/12/2021;6/12/2021;58.57;6.2;6.5;TRUE;e-Stewards
AST000017;14/7/2022;4.3;22/7/2022;22/7/2022;18.4;1.8;8.5;TRUE;R2
AST000019;24/5/2020;1.9;26/5/2020;27/5/2020;37.77;5.9;7.6;TRUE;ISO14001
AST000021;20/9/2022;3.4;30/9/2022;30/9/2022;168.45;11.9;10;TRUE;e-Stewards
AST000022;31/8/2024;2.2;1/9/2024;1/9/2024;42.08;1.7;10;TRUE;R2
AST000023;12/8/2021;3.1;16/8/2021;16/8/2021;51.76;4.8;8.9;TRUE;e-Stewards
AST000024;9/7/2023;1.8;13/7/2023;14/7/2023;285.91;17.1;8.3;FALSE;
AST000026;5/10/2022;1.6;7/10/2022;8/10/2022;135.25;8.3;9.7;TRUE;ISO14001
AST000027;19/9/2020;3.4;23/9/2020;24/9/2020;55.03;7.4;6.6;TRUE;R2
AST000029;24/7/2022;5.1;28/7/2022;28/7/2022;210.87;11.9;8.5;FALSE;
AST000030;28/9/2022;2.2;1/10/2022;2/10/2022;38.45;1;9.3;TRUE;R2
AST000031;18/7/2023;2.2;25/7/2023;25/7/2023;40.78;2.4;9.3;TRUE;ISO14001
AST000032;3/5/2022;3.1;5/5/2022;5/5/2022;66.77;8.8;10;TRUE;e-Stewards
AST000033;29/4/2022;7.3;1/5/2022;1/5/2022;62.93;4.9;8.7;TRUE;e-Stewards
AST000034;14/1/2021;8;16/1/2021;16/1/2021;39.87;4.3;7.3;FALSE;
AST000035;11/8/2022;3.8;25/8/2022;25/8/2022;30.31;1.1;9.6;TRUE;R2
AST000036;18/9/2023;2;19/9/2023;19/9/2023;32.71;1.5;10;TRUE;e-Stewards
AST000037;22/2/2022;6.3;26/2/2022;26/2/2022;37.21;6.1;7.4;FALSE;
AST000038;12/1/2021;5;21/1/2021;21/1/2021;33.41;1;8.7;TRUE;e-Stewards
AST000040;3/9/2020;3.4;5/9/2020;5/9/2020;97.14;8.1;6.3;FALSE;
AST000041;17/12/2023;4;18/12/2023;18/12/2023;42.68;4.4;9.3;TRUE;ISO14001
AST000042;29/3/2024;3.1;1/4/2024;1/4/2024;42.53;1.8;9.8;TRUE;R2
AST000044;24/1/2023;6.5;25/1/2023;25/1/2023;53.8;3.4;8.6;TRUE;e-Stewards
AST000047;15/10/2023;4.3;19/10/2023;19/10/2023;29.46;1.4;10;TRUE;ISO14001
AST000048;5/1/2020;5.3;11/1/2020;11/1/2020;49.08;8.1;6.1;FALSE;
AST000049;18/5/2021;2.3;19/5/2021;19/5/2021;74.9;5.4;8;TRUE;e-Stewards
AST000050;22/5/2021;3.1;3/6/2021;4/6/2021;299.13;13.4;8.7;TRUE;ISO14001
AST000051;26/4/2022;2.7;30/4/2022;30/4/2022;198.75;6.5;10;TRUE;e-Stewards
AST000052;31/10/2021;4.9;2/11/2021;2/11/2021;48.23;4.4;6.2;TRUE;R2
AST000053;2/6/2024;3.3;4/6/2024;4/6/2024;10.28;1.4;10;TRUE;None
AST000054;28/9/2023;2.1;30/9/2023;30/9/2023;41.63;2.8;10;TRUE;R2
AST000055;18/1/2023;8;21/1/2023;21/1/2023;45.35;2.2;9.7;TRUE;e-Stewards
AST000056;6/6/2024;4.8;16/6/2024;16/6/2024;29.82;1;10;TRUE;None
AST000057;29/6/2023;2.7;30/6/2023;30/6/2023;29.69;2.3;8;FALSE;
AST000058;9/3/2022;5;12/3/2022;12/3/2022;15.61;2.9;8.8;TRUE;R2
AST000059;12/10/2023;2;13/10/2023;13/10/2023;177.95;6.1;10;FALSE;
AST000060;30/12/2020;2.3;31/12/2020;31/12/2020;41.57;1.6;8.8;TRUE;ISO14001
AST000061;23/2/2022;7.4;27/2/2022;27/2/2022;24.15;3;7.9;FALSE;
AST000064;13/4/2022;6.6;25/4/2022;25/4/2022;44.75;2.1;7.7;TRUE;e-Stewards
AST000065;28/12/2023;3.1;8/1/2024;8/1/2024;12.14;2.6;10;TRUE;R2
AST000066;1/1/2023;8;2/1/2023;3/1/2023;186.72;6.2;10;TRUE;R2
AST000067;3/6/2022;3.4;5/6/2022;5/6/2022;28.49;1.1;9.6;TRUE;R2
