asset_id;sale_date;sale_price;sale_channel;customer_type;warranty_months;shipping_cost;customer_satisfaction
AST000001;16/10/2022;456.99;Direct_B2B;SMB;6;14.11;4.7
AST000002;12/2/2023;595.85;Retail_Partner;SMB;12;15.31;4.9
AST000003;25/2/2020;180.69;Direct_B2B;Education;6;20.44;4.6
AST000006;15/11/2021;1432.08;Auction;Education;6;49.06;4.8
AST000007;23/8/2021;444.52;Online_Marketplace;Enterprise;3;13.44;4.5
AST000008;19/6/2022;399.75;Retail_Partner;SMB;12;17.93;4.8
AST000009;27/4/2021;142.42;Retail_Partner;Enterprise;6;9.99;4.6
AST000012;4/11/2023;755.62;Auction;Government;6;17.49;5
AST000013;22/1/2020;349.9;Direct_B2B;SMB;12;24.68;5
AST000015;9/9/2024;518.86;Online_Marketplace;SMB;6;11.31;5
AST000016;23/12/2021;504.72;Export;Enterprise;6;13.84;4.6
AST000017;17/9/2022;177.17;Retail_Partner;Enterprise;12;20.18;4.8
AST000019;31/5/2020;236.26;Direct_B2B;SMB;6;20.2;4.5
AST000021;23/10/2022;2181.67;Direct_B2B;Enterprise;12;52.57;4.8
AST000022;5/9/2024;978.34;Online_Marketplace;Enterprise;6;12.44;5
AST000023;19/9/2021;365.05;Direct_B2B;SMB;12;23.37;4.3
AST000026;10/11/2022;2620.46;Retail_Partner;Enterprise;12;48.97;5
AST000027;29/9/2020;335.13;Retail_Partner;SMB;6;14;4.2
AST000030;1/11/2022;213.01;Online_Marketplace;Enterprise;6;17.89;5
AST000031;26/8/2023;584.85;Auction;Enterprise;6;16.85;4.8
AST000032;10/5/2022;2169.03;Direct_B2B;Enterprise;12;57.7;5
AST000033;5/5/2022;589.67;Auction;Enterprise;6;16.46;5
AST000036;10/10/2023;443.68;Retail_Partner;Government;12;20.87;5
AST000038;25/3/2021;148.36;Export;Government;12;20;4.8
AST000041;1/1/2024;1022.91;Auction;Government;6;12.45;5
AST000042;11/4/2024;1005.43;Retail_Partner;SMB;12;12.03;4.7
AST000044;25/4/2023;310.29;Online_Marketplace;Government;6;8.91;5
AST000047;28/11/2023;576.14;Direct_B2B;Enterprise;12;29.92;5
AST000049;31/5/2021;552.89;Auction;Enterprise;3;13.8;5
AST000050;16/6/2021;1408.49;Retail_Partner;Government;6;50.84;5
AST000051;21/5/2022;2497.16;Retail_Partner;Government;12;56.34;5
AST000052;11/12/2021;159.24;Auction;Government;3;10.74;4.2
AST000053;21/6/2024;271.97;Auction;Enterprise;6;10.89;5
AST000054;16/10/2023;783.53;Retail_Partner;Enterprise;12;16.9;4.9
AST000055;13/2/2023;293.34;Auction;Enterprise;6;10.21;5
AST000056;12/7/2024;494.12;Online_Marketplace;Enterprise;6;26.07;4.7
AST000058;24/4/2022;328.02;Online_Marketplace;Government;6;28.12;5
AST000060;9/2/2021;100.87;Direct_B2B;Enterprise;12;19.85;5
AST000064;29/4/2022;397.65;Online_Marketplace;Enterprise;3;29.35;4.9
AST000065;17/1/2024;320.16;Online_Marketplace;SMB;6;10.38;5
AST000066;25/1/2023;1954.87;Direct_B2B;Enterprise;12;52.04;4.8
AST000068;28/9/2022;405.81;Online_Marketplace;Consumer;6;29.84;5
AST000069;8/4/2023;254.13;Direct_B2B;SMB;6;8.11;4.7
AST000071;5/7/2023;347.62;Online_Marketplace;Consumer;6;21.68;5
AST000076;14/4/2021;349.95;Retail_Partner;Government;12;29.76;5
AST000077;8/8/2022;460.05;Auction;Enterprise;3;15.08;5
AST000078;20/9/2020;329.48;Direct_B2B;Enterprise;6;16.82;4.4
AST000079;8/10/2021;419.39;Online_Marketplace;Education;6;15.83;4.6
AST000084;21/12/2023;825.01;Online_Marketplace;Enterprise;6;17.69;5
AST000085;9/3/2021;240.45;Online_Marketplace;Consumer;6;29.23;5
AST000087;20/11/2023;900.42;Direct_B2B;Enterprise;12;14.09;5
AST000088;10/1/2022;334.31;Direct_B2B;Enterprise;12;29.93;4.8
AST000089;12/2/2023;445.04;Retail_Partner;Enterprise;12;20.02;5
AST000090;17/4/2020;307.02;Auction;SMB;3;16.88;4.1
AST000092;26/3/2023;216.27;Export;Enterprise;12;19.76;4.8
AST000093;12/2/2023;261.83;Direct_B2B;Education;6;11.79;4.5
AST000094;9/9/2022;223.62;Online_Marketplace;Education;6;17.87;4.9
AST000095;23/12/2023;693.24;Retail_Partner;Enterprise;12;28.99;4.9
AST000096;21/1/2024;838.82;Retail_Partner;Consumer;12;14.72;5
AST000097;17/3/2024;3526.03;Retail_Partner;Enterprise;12;43.5;4.9
AST000100;5/10/2023;866.96;Auction;Government;6;12.44;5
AST000101;14/12/2021;305.94;Retail_Partner;SMB;6;20.94;4.2
AST000102;23/9/2020;236.1;Online_Marketplace;Enterprise;3;20.3;4
AST000106;8/7/2022;525.02;Online_Marketplace;Education;6;14.07;4.7
