asset_id,equipment_type,asset_age_years,weight_kg,region,original_purchase_price_usd,condition_score,product_condition,can_refurbish,refurbishment_cost_usd,refurbishment_success,refurbishment_success_probability,sales_channel,market_value_usd,final_sale_price_usd,channel_commission_rate,net_revenue_usd,carbon_new_manufacturing_kg,carbon_refurb_process_kg,carbon_savings_kg,lifecycle_extension_years,grid_carbon_intensity_kg_co2_kwh,processing_date,processing_month,seasonal_demand_multiplier,roi_percent
ITAD-000001,Printer,5.57,16.94,Europe,1017.50,4.90,Refurbished,True,145.27,True,0.67,B2B Direct,779.28,1767.24,0.05,1678.88,323.20,13.13,261.59,1.61,0.31,2024-11-15,8,1.00,1116.53
ITAD-000002,Desktop,0.70,11.67,Europe,857.17,8.10,Refurbished,True,286.23,True,0.93,B2B Direct,1154.01,2445.38,0.05,2323.12,441.59,9.05,366.31,2.41,0.31,2024-09-06,3,1.00,754.33
ITAD-000003,Printer,14.31,18.61,Europe,1253.74,1.00,Poor,False,0.00,False,0.00,B2B Direct,20.69,52.21,0.05,49.60,264.79,9.05,39.72,0.00,0.31,2025-07-14,10,1.15,41.64
ITAD-000004,Desktop,4.03,11.08,North America,1598.79,6.20,Good,True,224.59,False,0.77,B2B Direct,1273.50,2780.96,0.05,2641.91,480.02,0.00,408.01,1.82,0.42,2025-02-26,6,1.00,1138.27
ITAD-000005,Desktop,5.22,14.58,Latin America,1855.20,7.20,Refurbished,True,237.85,True,0.85,B2B Direct,953.45,2356.05,0.05,2238.25,447.17,12.75,367.34,2.04,0.35,2024-11-29,5,1.00,890.55
ITAD-000006,Desktop,11.76,12.25,North America,1019.34,1.00,Poor,False,0.00,False,0.00,B2B Direct,18.35,43.52,0.05,41.34,455.85,12.75,68.38,0.00,0.42,2025-04-22,1,1.08,42.69
ITAD-000007,Printer,5.91,20.43,North America,1212.40,7.00,Good,True,108.04,False,0.84,Online Marketplace,737.79,714.98,0.12,629.18,252.80,0.00,214.88,1.10,0.42,2025-07-05,7,1.00,500.61
ITAD-000008,Tablet,4.58,0.54,North America,340.18,5.00,Refurbished,True,59.59,True,0.68,Retail Partner,206.78,267.88,0.20,214.30,84.57,0.56,71.32,2.55,0.42,2025-07-25,10,1.15,349.50
ITAD-000009,Server,0.40,19.72,Europe,3130.57,9.40,Refurbished,True,521.31,True,0.95,Retail Partner,4377.34,5440.39,0.20,4352.31,960.16,15.28,800.86,1.65,0.31,2025-01-05,11,1.15,943.60
ITAD-000010,Smartphone,7.43,0.16,Europe,100.00,1.00,Poor,False,0.00,False,0.00,B2B Direct,1.65,10.00,0.05,9.50,39.46,15.28,5.92,0.00,0.31,2024-09-22,7,1.00,100.00
ITAD-000011,Laptop,1.34,1.38,North America,716.12,10.00,Refurbished,True,135.40,True,0.95,B2B Direct,950.88,1746.00,0.05,1658.70,244.42,1.44,206.31,1.74,0.42,2025-04-06,12,1.08,1189.49
ITAD-000012,Printer,0.64,9.38,Europe,938.21,8.50,Refurbished,True,142.68,True,0.95,B2B Direct,1269.53,3518.73,0.05,3342.79,212.58,7.27,173.43,3.50,0.31,2025-05-15,11,1.15,2366.23
ITAD-000013,Desktop,2.44,8.36,North America,1802.99,7.90,Refurbished,True,247.62,True,0.91,Online Marketplace,2239.63,2495.58,0.12,2196.11,409.41,8.78,339.22,2.96,0.42,2024-10-15,8,1.00,907.84
ITAD-000014,Server,14.35,20.98,Asia Pacific,4127.90,2.20,Poor,False,0.00,False,0.00,Online Marketplace,213.50,221.57,0.12,194.98,1287.07,8.78,193.06,0.00,0.68,2025-04-10,3,1.00,53.68
ITAD-000015,Server,3.96,18.40,Asia Pacific,3013.72,7.50,Refurbished,True,663.06,True,0.88,Refurb Specialist,2597.25,4247.42,0.08,3907.63,896.26,31.28,730.55,2.18,0.68,2025-04-07,9,1.15,540.58
ITAD-000016,Printer,7.34,21.34,Europe,1125.41,2.60,Poor,False,0.00,False,0.00,Online Marketplace,144.09,139.42,0.12,122.69,377.39,31.28,56.61,0.00,0.31,2025-03-29,5,1.00,123.88
ITAD-000017,Monitor,0.73,4.39,Asia Pacific,538.24,9.70,Refurbished,True,116.47,True,0.95,Retail Partner,565.73,723.21,0.20,578.57,237.10,7.47,194.07,2.24,0.68,2025-05-29,9,1.15,520.97
ITAD-000018,Laptop,0.02,1.46,Europe,1241.07,10.00,Refurbished,True,216.26,True,0.95,Online Marketplace,1771.23,1638.18,0.12,1441.60,349.30,1.13,295.77,2.80,0.31,2025-02-22,7,1.00,657.52
ITAD-000019,Laptop,1.29,2.07,Europe,347.83,6.70,Refurbished,True,186.02,True,0.82,Refurb Specialist,426.16,836.94,0.08,769.98,286.88,1.60,242.24,2.20,0.31,2024-11-25,1,1.08,349.92
ITAD-000020,Printer,2.37,8.90,Asia Pacific,788.11,6.60,Good,True,174.12,False,0.81,Refurb Specialist,537.36,945.64,0.08,869.99,183.40,0.00,155.89,2.39,0.68,2024-11-07,1,1.08,443.09
ITAD-000021,Tablet,2.97,0.79,North America,325.68,5.00,Refurbished,True,36.05,True,0.68,Online Marketplace,306.69,265.55,0.12,233.69,109.09,0.83,91.90,3.36,0.42,2025-05-14,8,1.00,636.69
ITAD-000022,Printer,15.00,7.80,Europe,151.32,1.00,Poor,False,0.00,False,0.00,Online Marketplace,2.50,10.00,0.12,8.80,334.55,0.83,50.18,0.00,0.31,2025-03-19,7,1.00,66.08
ITAD-000023,Printer,1.91,6.63,North America,1062.72,6.40,Refurbished,True,90.84,True,0.79,B2B Direct,1394.63,3659.15,0.05,3476.20,191.17,6.96,155.53,3.27,0.42,2024-09-16,12,1.08,3357.73
ITAD-000024,Desktop,2.02,9.09,Middle East & Africa,479.92,10.00,Refurbished,True,236.24,True,0.95,B2B Direct,415.11,1052.39,0.05,999.77,425.82,12.49,349.45,2.57,0.55,2024-12-15,5,1.00,345.48
ITAD-000025,Tablet,1.11,0.72,North America,234.28,9.40,Refurbished,True,69.96,True,0.95,B2B Direct,311.44,721.05,0.05,685.00,117.87,0.76,99.43,2.93,0.42,2025-04-13,3,1.00,930.71
ITAD-000026,Printer,1.99,8.69,North America,456.98,9.80,Refurbished,True,239.06,True,0.95,Refurb Specialist,594.72,997.98,0.08,918.14,277.32,9.12,226.60,1.98,0.42,2025-07-19,6,1.00,317.45
ITAD-000027,Laptop,3.78,2.18,Europe,950.92,8.70,Refurbished,True,113.46,True,0.95,B2B Direct,789.01,1720.07,0.05,1634.06,223.21,1.69,188.04,1.59,0.31,2025-06-03,1,1.08,1415.97
ITAD-000028,Smartphone,13.61,0.18,Europe,215.93,1.00,Poor,False,0.00,False,0.00,Online Marketplace,3.56,10.00,0.12,8.80,20.92,1.69,3.14,0.00,0.31,2025-06-01,3,1.00,46.31
ITAD-000029,Laptop,2.71,2.29,Europe,1009.84,7.80,Refurbished,True,196.31,True,0.90,Online Marketplace,1008.75,904.40,0.12,795.88,362.24,1.78,306.13,3.14,0.31,2024-10-17,12,1.08,360.70
ITAD-000030,Laptop,11.37,2.65,North America,881.71,1.00,Poor,False,0.00,False,0.00,B2B Direct,15.87,40.50,0.05,38.48,368.98,1.78,55.35,0.00,0.42,2025-05-13,10,1.15,45.93
ITAD-000031,Laptop,2.40,2.70,North America,382.82,9.60,Refurbished,True,172.43,True,0.95,B2B Direct,438.05,1086.50,0.05,1032.17,313.70,2.83,263.81,2.65,0.42,2025-07-31,3,1.00,530.10
ITAD-000032,Desktop,1.01,11.93,North America,1826.21,9.60,Refurbished,True,310.83,True,0.95,B2B Direct,2609.82,7084.27,0.05,6730.06,483.58,12.53,398.51,2.49,0.42,2024-09-28,9,1.15,2179.16
ITAD-000033,Tablet,7.91,0.78,Europe,278.90,1.00,Poor,False,0.00,False,0.00,Online Marketplace,4.60,10.00,0.12,8.80,73.01,12.53,10.95,0.00,0.31,2025-07-14,11,1.15,35.86
ITAD-000034,Printer,5.32,7.27,Latin America,621.29,8.70,Good,True,170.23,False,0.95,Online Marketplace,242.09,244.27,0.12,214.96,364.47,0.00,309.80,1.64,0.35,2025-03-19,8,1.00,43.50
ITAD-000035,Laptop,6.04,2.33,North America,833.09,1.80,Poor,False,0.00,False,0.00,Retail Partner,98.70,101.77,0.20,81.42,389.45,0.00,58.42,0.00,0.42,2024-11-08,9,1.15,122.16
ITAD-000036,Server,1.51,20.67,Asia Pacific,2754.20,10.00,Refurbished,True,414.05,True,0.95,B2B Direct,2788.27,6153.73,0.05,5846.04,1083.64,35.14,885.96,2.64,0.68,2024-10-23,4,1.00,1386.22
ITAD-000037,Printer,3.67,24.24,Europe,1007.74,9.50,Refurbished,True,184.51,True,0.95,Refurb Specialist,1000.76,1729.10,0.08,1590.77,182.67,18.79,136.48,3.44,0.31,2025-06-17,5,1.00,837.14
ITAD-000038,Smartphone,9.05,0.22,North America,146.55,1.00,Poor,False,0.00,False,0.00,B2B Direct,2.64,10.00,0.05,9.50,79.75,18.79,11.96,0.00,0.42,2024-12-20,6,1.00,68.23
ITAD-000039,Printer,0.16,10.62,Latin America,413.16,9.70,Refurbished,True,198.82,True,0.95,B2B Direct,370.87,912.55,0.05,866.93,257.74,9.29,209.79,2.67,0.35,2024-09-13,12,1.08,359.00
ITAD-000040,Laptop,1.05,1.93,North America,257.98,8.00,Refurbished,True,69.97,True,0.92,B2B Direct,355.33,877.42,0.05,833.55,316.23,2.02,266.78,3.34,0.42,2024-10-28,10,1.15,1154.00
ITAD-000041,Smartphone,7.04,0.15,North America,211.91,1.20,Poor,False,0.00,False,0.00,Refurb Specialist,3.81,10.00,0.08,9.20,29.03,2.02,4.35,0.00,0.42,2024-11-27,5,1.00,47.19
ITAD-000042,Printer,1.75,6.27,North America,903.47,10.00,Refurbished,True,160.93,True,0.95,Online Marketplace,1204.19,1145.87,0.12,1008.36,380.90,6.58,317.18,2.67,0.42,2025-03-24,5,1.00,612.01
ITAD-000043,Desktop,6.63,8.90,Latin America,1012.19,2.60,Poor,False,0.00,False,0.00,Online Marketplace,95.09,101.86,0.12,89.63,504.53,6.58,75.68,0.00,0.35,2025-06-02,12,1.08,100.63
ITAD-000044,Printer,3.90,15.41,Asia Pacific,350.14,8.80,Refurbished,True,153.38,True,0.95,Online Marketplace,261.26,254.75,0.12,224.18,209.48,26.19,151.87,1.56,0.68,2024-09-29,5,1.00,66.10
ITAD-000045,Smartphone,4.26,0.17,North America,237.73,1.00,Poor,False,0.00,False,0.00,B2B Direct,24.79,70.93,0.05,67.39,74.25,26.19,11.14,0.00,0.42,2024-12-30,4,1.00,298.38
ITAD-000046,Smartphone,2.10,0.20,Asia Pacific,138.94,7.70,Refurbished,True,28.05,True,0.89,Retail Partner,99.84,136.82,0.20,109.45,23.97,0.34,20.03,1.59,0.68,2025-07-14,6,1.00,387.70
ITAD-000047,Desktop,1.40,8.53,North America,417.32,10.00,Refurbished,True,252.49,True,0.95,B2B Direct,575.33,1303.13,0.05,1237.98,574.20,8.96,479.11,2.45,0.42,2025-07-06,2,1.00,416.10
ITAD-000048,Desktop,0.89,10.43,North America,898.06,10.00,Refurbished,True,351.22,True,0.95,Retail Partner,1297.42,1927.71,0.20,1542.17,382.19,10.96,313.90,2.16,0.42,2025-06-24,11,1.15,448.86
ITAD-000049,Desktop,5.62,14.12,Latin America,780.16,6.10,Good,True,216.58,False,0.77,Online Marketplace,290.23,283.81,0.12,249.76,396.13,0.00,336.71,1.31,0.35,2025-02-03,8,1.00,31.05
ITAD-000050,Smartphone,3.37,0.22,North America,109.88,1.70,Poor,False,0.00,False,0.00,B2B Direct,17.34,45.84,0.05,43.55,50.70,0.00,7.61,0.00,0.42,2024-12-05,12,1.08,417.16
ITAD-000051,Desktop,1.53,10.78,North America,1386.75,7.70,Refurbished,True,268.21,True,0.90,Retail Partner,1887.48,2282.02,0.20,1825.62,408.30,11.32,335.74,2.19,0.42,2025-06-29,9,1.15,750.82
